country,countrycode,year,month,cpi_yoy_nsa,exchnage_rate_vs_usd,ind_prod_const_sa,usa_imp_sa,exports_gdp_pct,gdp_per_capita_ppp,population
Philippines,PHL,2001,12,4.49306713004,51.64119047619,5964171933.54259,86527.0,41.15550150745465,4778.400843747396,81401488
Thailand,THA,2001,12,0.59986578792,43.92547619048,6210775141.27147,86527.0,63.25068975665299,11901.31821046593,63651141
Singapore,SGP,2002,1,-0.89681952663,1.83956521739,2860116285.29159,89443.0,184.08611806653184,67744.27026798083,4175950
Philippines,PHL,2002,1,3.73719956364,51.38391304348,5954136441.6228,89443.0,40.00567994402893,4856.499484295671,83068889
Thailand,THA,2002,1,0.79787038688,44.02152173913,6228349576.70474,89443.0,60.64575260097013,12512.183132496286,64266437
Malaysia,MYS,2002,1,1.12417873242,3.80047826087,6053067095.19286,89443.0,108.3053027950513,18708.8694877279,24102477
Singapore,SGP,2002,2,-0.82267031124,1.83085,3022761925.8794,91539.0,184.08611806653184,67744.27026798083,4175950
Thailand,THA,2002,2,0.50628755956,43.81475,6177978625.97881,91539.0,60.64575260097013,12512.183132496286,64266437
Malaysia,MYS,2002,2,1.30964518931,3.80055,6270007589.5248,91539.0,108.3053027950513,18708.8694877279,24102477
Philippines,PHL,2002,2,3.3405229102,51.2875,6160875558.11477,91539.0,40.00567994402893,4856.499484295671,83068889
Malaysia,MYS,2002,3,2.16474982565,3.80047619048,5876161106.43137,91447.0,108.3053027950513,18708.8694877279,24102477
Philippines,PHL,2002,3,3.60105481916,51.03761904762,5822401093.79973,91447.0,40.00567994402893,4856.499484295671,83068889
Thailand,THA,2002,3,0.5975792912,43.38928571429,6482507716.44751,91447.0,60.64575260097013,12512.183132496286,64266437
Singapore,SGP,2002,3,-0.88936978782,1.82961904762,2957874106.69279,91447.0,184.08611806653184,67744.27026798083,4175950
Malaysia,MYS,2002,4,1.88409327565,3.80036363636,6193490269.01141,95972.0,108.3053027950513,18708.8694877279,24102477
Philippines,PHL,2002,4,3.52406807977,50.95204545455,6753415928.08553,95972.0,40.00567994402893,4856.499484295671,83068889
Thailand,THA,2002,4,0.55083592872,43.42636363636,7018734146.28634,95972.0,60.64575260097013,12512.183132496286,64266437
Singapore,SGP,2002,4,-1.05537424992,1.8285,3180416195.76054,95972.0,184.08611806653184,67744.27026798083,4175950
Malaysia,MYS,2002,5,1.99324183184,3.80039130435,6288083540.90445,96395.0,108.3053027950513,18708.8694877279,24102477
Singapore,SGP,2002,5,-0.34485036665,1.79995652174,3303009129.94611,96395.0,184.08611806653184,67744.27026798083,4175950
Thailand,THA,2002,5,0.21769218567,42.79760869565,7049672084.57487,96395.0,60.64575260097013,12512.183132496286,64266437
Philippines,PHL,2002,5,3.53220797696,49.86369565217,6390867525.00579,96395.0,40.00567994402893,4856.499484295671,83068889
Malaysia,MYS,2002,6,2.08926017853,3.8005,6155216048.47124,97848.0,108.3053027950513,18708.8694877279,24102477
Philippines,PHL,2002,6,2.91429854717,50.419,6178230079.48248,97848.0,40.00567994402893,4856.499484295671,83068889
Thailand,THA,2002,6,0.35158225621,42.12975,7126088758.41417,97848.0,60.64575260097013,12512.183132496286,64266437
Singapore,SGP,2002,6,0.14215302042,1.783,3263930349.53541,97848.0,184.08611806653184,67744.27026798083,4175950
Singapore,SGP,2002,7,-0.42523969256,1.75330434783,3329305131.71779,97197.0,184.08611806653184,67744.27026798083,4175950
Malaysia,MYS,2002,7,2.06019912676,3.80047826087,6421210344.84552,97197.0,108.3053027950513,18708.8694877279,24102477
Thailand,THA,2002,7,0.21665160688,41.23326086957,7355482713.15992,97197.0,60.64575260097013,12512.183132496286,64266437
Philippines,PHL,2002,7,2.51858464814,50.63434782609,6143867962.63011,97197.0,40.00567994402893,4856.499484295671,83068889
Malaysia,MYS,2002,8,2.05051068808,3.8005,6358970549.3075,99721.0,108.3053027950513,18708.8694877279,24102477
Thailand,THA,2002,8,0.4024044065,42.16431818182,7340660702.75094,99721.0,60.64575260097013,12512.183132496286,64266437
Singapore,SGP,2002,8,-0.43737942335,1.75504545455,3192103307.65906,99721.0,184.08611806653184,67744.27026798083,4175950
Philippines,PHL,2002,8,2.86987827876,51.79886363636,6156312903.49456,99721.0,40.00567994402893,4856.499484295671,83068889
Singapore,SGP,2002,9,-0.42343164887,1.76723809524,3074623484.9291,99364.0,184.08611806653184,67744.27026798083,4175950
Philippines,PHL,2002,9,2.61468046589,52.16023809524,6393774621.29047,99364.0,40.00567994402893,4856.499484295671,83068889
Malaysia,MYS,2002,9,2.01691138896,3.80038095238,6426448724.71783,99364.0,108.3053027950513,18708.8694877279,24102477
Thailand,THA,2002,9,0.5135500822,42.83428571429,7281276954.74394,99364.0,60.64575260097013,12512.183132496286,64266437
Malaysia,MYS,2002,10,2.02007446676,3.80039130435,6388552294.88209,96860.0,108.3053027950513,18708.8694877279,24102477
Thailand,THA,2002,10,1.33820863661,43.65108695652,7350612202.12435,96860.0,60.64575260097013,12512.183132496286,64266437
Philippines,PHL,2002,10,2.56471430276,52.94195652174,6408141510.87891,96860.0,40.00567994402893,4856.499484295671,83068889
Singapore,SGP,2002,10,-0.20031041481,1.78486956522,3094893319.6281,96860.0,184.08611806653184,67744.27026798083,4175950
Philippines,PHL,2002,11,2.41453827698,53.33738095238,6431553846.15716,102120.0,40.00567994402893,4856.499484295671,83068889
Singapore,SGP,2002,11,0.23396788259,1.76457142857,3047657909.03823,102120.0,184.08611806653184,67744.27026798083,4175950
Thailand,THA,2002,11,1.41878787509,43.29595238095,7469145635.79743,102120.0,60.64575260097013,12512.183132496286,64266437
Malaysia,MYS,2002,11,1.53751742015,3.80042857143,6472464536.66837,102120.0,108.3053027950513,18708.8694877279,24102477
Thailand,THA,2002,12,1.76597531046,43.27045454545,7000849873.14136,103460.0,60.64575260097013,12512.183132496286,64266437
Philippines,PHL,2002,12,2.48421909998,53.47590909091,6337640523.5064,103460.0,40.00567994402893,4856.499484295671,83068889
Malaysia,MYS,2002,12,1.56888686272,3.80045454545,6303152974.77406,103460.0,108.3053027950513,18708.8694877279,24102477
Singapore,SGP,2002,12,0.43693717696,1.752,3203851289.93206,103460.0,184.08611806653184,67744.27026798083,4175950
Singapore,SGP,2003,1,0.66770620927,1.73530434783,3285904554.71962,102284.0,202.58620638980375,71877.53486335518,4114826
Philippines,PHL,2003,1,2.81217137623,53.56,6312851677.4771,102284.0,42.305018371271196,5003.383177187158,84731835
Malaysia,MYS,2003,1,1.63618789001,3.8,6289271261.42107,102284.0,106.94344614811506,19329.00627575376,24679602
Thailand,THA,2003,1,2.36761761829,42.75869565217,7366976193.85669,102284.0,61.52255163318904,13287.304898745875,64868166
Singapore,SGP,2003,2,0.59782174527,1.74555,2983257052.8474,101719.0,202.58620638980375,71877.53486335518,4114826
Malaysia,MYS,2003,2,1.65147623304,3.8,6835518502.23287,101719.0,106.94344614811506,19329.00627575376,24679602
Thailand,THA,2003,2,2.10540823326,42.9,7086790271.27547,101719.0,61.52255163318904,13287.304898745875,64868166
Philippines,PHL,2003,2,3.29362655264,54.125,6172586272.85731,101719.0,42.305018371271196,5003.383177187158,84731835
Malaysia,MYS,2003,3,0.67707063578,3.8,6363943113.22403,105340.0,106.94344614811506,19329.00627575376,24679602
Singapore,SGP,2003,3,0.76554386899,1.75485714286,3373436153.20961,105340.0,202.58620638980375,71877.53486335518,4114826
Thailand,THA,2003,3,1.8612716738,42.77542857143,7457940352.98878,105340.0,61.52255163318904,13287.304898745875,64868166
Philippines,PHL,2003,3,3.05109316791,54.51928571429,6405611346.58518,105340.0,42.305018371271196,5003.383177187158,84731835
Philippines,PHL,2003,4,3.29988064619,52.808,6273118564.49268,103175.0,42.305018371271196,5003.383177187158,84731835
Singapore,SGP,2003,4,0.86314669504,1.77722727273,2983622275.09423,103175.0,202.58620638980375,71877.53486335518,4114826
Malaysia,MYS,2003,4,1.00699757627,3.8,6589373614.28342,103175.0,106.94344614811506,19329.00627575376,24679602
Thailand,THA,2003,4,1.52852397315,42.91113636364,7929730508.83632,103175.0,61.52255163318904,13287.304898745875,64868166
Thailand,THA,2003,5,1.75717947376,42.18509090909,7565282633.40903,102613.0,61.52255163318904,13287.304898745875,64868166
Singapore,SGP,2003,5,-0.08750530335,1.7355,3075658281.29512,102613.0,202.58620638980375,71877.53486335518,4114826
Philippines,PHL,2003,5,3.36980746351,52.56613636364,6323209247.03109,102613.0,42.305018371271196,5003.383177187158,84731835
Malaysia,MYS,2003,5,0.99254001429,3.8,7011290350.11043,102613.0,106.94344614811506,19329.00627575376,24679602
Thailand,THA,2003,6,1.56469638555,41.66895238095,7953201470.48151,103398.0,61.52255163318904,13287.304898745875,64868166
Philippines,PHL,2003,6,3.88928055863,53.4170952381,6243761075.73362,103398.0,42.305018371271196,5003.383177187158,84731835
Singapore,SGP,2003,6,-0.32502852291,1.73514285714,3118328413.79962,103398.0,202.58620638980375,71877.53486335518,4114826
Malaysia,MYS,2003,6,0.70713933405,3.8,6672159683.68964,103398.0,106.94344614811506,19329.00627575376,24679602
Malaysia,MYS,2003,7,0.8017604053,3.8,6942611523.74237,105082.0,106.94344614811506,19329.00627575376,24679602
Singapore,SGP,2003,7,0.26790450928,1.75447826087,3053744946.48538,105082.0,202.58620638980375,71877.53486335518,4114826
Philippines,PHL,2003,7,3.6457112235,53.77391304348,6407013816.0041,105082.0,42.305018371271196,5003.383177187158,84731835
Thailand,THA,2003,7,1.70462767183,41.77860869565,8291075307.51549,105082.0,61.52255163318904,13287.304898745875,64868166
Philippines,PHL,2003,8,3.32811145924,55.01714285714,6311213978.94664,101990.0,42.305018371271196,5003.383177187158,84731835
Malaysia,MYS,2003,8,0.91460407268,3.8,6846861711.2482,101990.0,106.94344614811506,19329.00627575376,24679602
Thailand,THA,2003,8,2.194741622,41.63414285714,7703794294.71257,101990.0,61.52255163318904,13287.304898745875,64868166
Singapore,SGP,2003,8,0.45655434191,1.7529047619,3562316925.19462,101990.0,202.58620638980375,71877.53486335518,4114826
Malaysia,MYS,2003,9,0.8893231594,3.8,6991244619.05126,105721.0,106.94344614811506,19329.00627575376,24679602
Thailand,THA,2003,9,1.64667021717,40.47786363636,8311441597.19043,105721.0,61.52255163318904,13287.304898745875,64868166
Singapore,SGP,2003,9,0.68834465071,1.74627272727,3155033249.60593,105721.0,202.58620638980375,71877.53486335518,4114826
Philippines,PHL,2003,9,3.57327119913,55.00627272727,6005680773.75385,105721.0,42.305018371271196,5003.383177187158,84731835
